game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
2,2001,w,0-1,0.0,70,B05,38,39,40,-1,0.0,11,k,2.3,2,0,0,0,1,33.7,31.571428571428573,1.0805294577723044,6,0,9,2,0
3,2001,w,1-0,1.0,55,C16,10,-1,10,-1,0.0,33,k,1.6666666666666667,1,2,1,0,3,33.05555555555556,34.166666666666664,0.9904018762587512,5,3,3,9,0
5,2001,w,0-1,0.0,44,B32,6,-1,20,-1,0.0,39,k,1.5,4,0,1,2,3,39.333333333333336,39.84615384615385,1.0162149770348197,8,0,6,3,0
7,2001,w,1-0,1.0,59,B06,9,-1,12,-1,0.0,-1,none,1.5,0,0,2,0,3,46.95,41.15,1.1627289024616616,6,1,6,3,1
9,2001,w,0-1,0.0,58,C42,5,39,18,44,0.25862068965517243,13,k,2.473684210526316,1,2,3,0,3,27.263157894736842,27.7,1.005062346273546,8,1,9,5,0
11,2001,w,0-1,0.0,52,C63,8,-1,17,-1,0.0,11,k,2.25,0,0,0,0,2,36.4375,41.529411764705884,0.870503244254485,5,1,1,3,0
13,2001,w,0-1,0.0,76,B02,10,50,35,55,0.2894736842105263,19,k,2.0,0,0,0,0,2,36.2,38.42857142857143,0.951590802420627,9,0,5,9,0
17,2001,w,1-0,1.0,65,B02,36,-1,36,-1,0.0,19,k,2.0,0,0,0,0,2,30.2,39.714285714285715,0.8058085729110245,8,4,3,6,0
19,2001,w,0-1,0.0,68,B40,6,-1,16,-1,0.0,15,k,1.65,0,0,3,0,4,43.4,38.61904761904762,1.127136166203396,7,0,7,1,0
20,2001,w,0-1,0.0,72,B12,27,-1,27,-1,0.0,11,k,2.6,0,0,1,0,2,35.2,39.76190476190476,0.9028113599001314,9,0,8,3,0
22,2001,w,0-1,0.0,68,B12,28,-1,30,-1,0.0,11,k,0.9,0,0,1,0,2,28.1,47.61904761904762,0.5942292874656178,7,0,6,4,0
24,2001,w,1/2-1/2,0.5,68,B43,6,64,22,64,0.07352941176470588,17,k,2.05,0,0,1,0,3,42.2,34.61904761904762,1.2623636193443546,10,2,5,9,1
26,2001,w,1/2-1/2,0.5,84,C02,14,65,20,65,0.23809523809523808,23,k,1.2,0,2,2,0,3,44.65,33.285714285714285,1.395634340907051,10,2,7,4,1
29,2001,w,1/2-1/2,0.5,103,A57,7,-1,24,-1,0.0,43,k,0.9,8,0,1,1,2,43.3,40.42857142857143,1.0678036897259222,11,4,5,1,0
31,2001,w,0-1,0.0,102,B33,6,74,17,-1,0.0,23,k,2.1,0,0,2,0,3,42.65,38.095238095238095,1.120519718903219,11,2,8,6,0
34,2001,w,0-1,0.0,98,D16,8,75,28,83,0.16326530612244897,19,k,2.25,0,0,2,0,3,47.1,37.57142857142857,1.2625365293075577,9,0,10,0.0,0
36,2001,w,1-0,1.0,76,B00,19,-1,25,-1,0.0,23,k,2.15,0,0,0,0,2,37.55,37.42857142857143,1.0274234059616059,9,3,1,5,0
37,2001,w,1/2-1/2,0.5,40,A34,7,36,19,-1,0.0,21,k,3.0,0,0,0,0,2,44.9,42.45454545454545,1.0766644597448785,4,0,0.0,9,0
39,2001,w,1-0,1.0,115,B42,6,-1,32,-1,0.0,11,k,2.0,0,0,1,0,3,40.1,41.57142857142857,0.9686812186955367,10,7,3,5,0
41,2001,w,1-0,1.0,69,A87,15,47,21,-1,0.0,9,k,2.25,0,0,0,1,2,39.75,35.04761904761905,1.169282193935962,11,1,6,3,0
45,2001,w,1/2-1/2,0.5,30,B42,6,-1,-1,-1,0.0,13,k,2.0,0,-1,-1,-1,-1,40.4,39.166666666666664,1.0133480070620973,1,0,1,0.0,0
50,2002,w,1-0,1.0,95,D11,16,55,16,55,0.43157894736842106,11,k,2.95,0,0,0,0,2,38.1,32.0,1.2401656879177623,11,6,8,6,0
53,2002,w,1/2-1/2,0.5,53,E54,5,-1,27,-1,0.0,17,k,3.0,0,0,0,0,2,49.23529411764706,37.294117647058826,1.3432773167373435,5,0,1,5,0
54,2002,w,0-1,0.0,128,A11,10,-1,10,-1,0.0,9,k,3.15,0,2,1,0,3,37.6,36.95238095238095,1.0166698436984565,9,4,6,4,0
57,2002,w,1-0,1.0,46,B54,8,-1,10,-1,0.0,39,k,0.6153846153846154,4,0,2,0,3,47.92307692307692,34.857142857142854,1.4218754361069352,5,0,3,3,0
58,2002,w,1-0,1.0,99,E94,24,-1,26,-1,0.0,13,k,2.75,0,0,0,0,2,42.85,36.523809523809526,1.1817921710333663,9,9,4,1,1
60,2002,w,0-1,0.0,110,B43,8,30,22,106,0.045454545454545456,-1,none,0.55,4,2,0,0,2,36.4,32.142857142857146,1.2278261308099165,11,4,8,9,0
62,2002,w,0-1,0.0,34,D39,8,-1,20,-1,0.0,27,q,1.0,0,-1,-1,-1,-1,43.142857142857146,38.375,1.1614067739001666,4,1,6,0.0,0
63,2002,w,1-0,1.0,67,B40,7,58,15,58,0.14925373134328357,11,k,2.0,0,0,1,2,3,42.55,37.904761904761905,1.1657687028333723,10,3,2,9,0
65,2002,w,0-1,0.0,154,B60,6,-1,13,-1,0.0,25,k,2.55,11,0,0,0,2,36.7,27.80952380952381,1.393703404160084,12,16,7,7,0
69,2002,w,1/2-1/2,0.5,115,D37,13,44,26,76,0.34782608695652173,19,q,1.65,0,0,0,0,2,42.1,38.857142857142854,1.0773955049443387,15,0,3,11,0
70,2002,w,1-0,1.0,80,E68,18,71,44,-1,0.0,7,k,2.2,0,0,0,0,2,39.75,36.80952380952381,1.078191570094257,10,2,6,3,0
72,2002,w,1/2-1/2,0.5,61,C78,14,45,24,-1,0.0,9,k,2.35,0,0,0,1,3,33.7,36.23809523809524,0.952635686320922,9,0,9,2,0
