game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
2,1976,w,1-0,1.0,75,C11,9,19,9,58,0.24,25,k,2.4,0,0,0,2,2,30.9,26.761904761904763,1.1937150567146202,12,3,8,6,0
3,1976,w,1/2-1/2,0.5,33,B45,6,-1,14,-1,0.0,21,k,3.0,0,-1,-1,-1,-1,41.0,36.42857142857143,1.0989439848959974,5,0,3,3,0
7,1976,w,1-0,1.0,67,B33,6,62,21,-1,0.0,27,k,1.85,0,2,0,0,2,41.25,36.333333333333336,1.1746471917499433,9,2,5,10,0
8,1976,w,1/2-1/2,0.5,37,C42,5,17,35,-1,0.0,23,q,1.8888888888888888,0,-1,-1,-1,-1,39.333333333333336,27.444444444444443,1.4291586627591912,4,0,9,3,0
9,1976,w,1-0,1.0,43,B08,14,20,21,-1,0.0,11,k,2.25,0,0,1,0,3,35.5,32.5,1.1544969043026898,6,0,5,9,0
10,1977,w,1-0,1.0,23,B40,8,-1,14,-1,0.0,-1,none,1.0,0,-1,-1,-1,-1,45.5,30.5,1.393939393939394,3,1,3,1,0
12,1978,w,1-0,1.0,69,B67,6,-1,19,-1,0.0,15,q,2.0,0,0,0,0,2,44.65,29.761904761904763,1.620167295827843,9,1,3,3,1
13,1978,w,1-0,1.0,73,B04,18,-1,46,-1,0.0,21,k,2.0,0,0,0,0,3,45.8,33.80952380952381,1.372665747940384,9,7,4,2,1
14,1978,w,1-0,1.0,55,D37,13,-1,22,-1,0.0,43,k,1.5,6,0,0,1,2,41.5,40.72222222222222,1.045965101371397,6,0,2,5,0
15,1978,w,1/2-1/2,0.5,42,C61,7,-1,7,-1,0.0,9,k,3.0,0,0,0,0,1,43.90909090909091,29.5,1.4774614875547731,5,0,3,3,0
17,1978,w,1-0,1.0,103,B85,6,44,31,-1,0.0,13,k,1.6,0,2,0,1,2,44.5,34.42857142857143,1.279289080903877,14,5,3,9,0
18,1978,w,1/2-1/2,0.5,79,B38,6,70,19,-1,0.0,21,k,2.05,0,0,0,0,2,38.9,42.38095238095238,0.938546439577272,9,2,2,8,1
24,1978,w,1-0,1.0,113,A41,12,106,12,106,0.07079646017699115,25,k,2.8,0,0,0,0,2,46.05,32.80952380952381,1.4267577776170166,11,5,7,10,1
25,1978,w,1-0,1.0,81,E14,16,-1,16,-1,0.0,13,k,2.25,0,2,2,0,3,45.0,35.714285714285715,1.2770351740660415,9,3,3,3,0
31,1978,w,1/2-1/2,0.5,60,B17,6,47,49,-1,0.0,35,k,2.3,2,0,0,0,2,41.55,36.142857142857146,1.1858122116464511,6,1,9,3,0
32,1978,w,1-0,1.0,83,D58,17,47,17,69,0.18072289156626506,29,k,2.5,0,0,1,1,3,36.9,42.04761904761905,0.9055754011550521,10,1,8,6,0
33,1978,w,1-0,1.0,77,C92,29,-1,54,-1,0.0,9,k,2.35,0,0,0,0,2,36.05,29.952380952380953,1.206872593655457,10,2,1,6,0
34,1978,w,1/2-1/2,0.5,44,D61,17,-1,38,-1,0.0,21,k,3.0,0,0,0,0,2,42.666666666666664,36.69230769230769,1.1879550469749136,5,0,3,3,0
35,1978,w,1-0,1.0,83,C97,29,-1,52,-1,0.0,9,k,2.7,0,0,1,0,2,40.55,40.476190476190474,0.9974349144306466,8,1,3,5,0
36,1978,w,1-0,1.0,91,B43,6,39,17,-1,0.0,15,k,3.0,0,2,0,0,2,38.7,30.285714285714285,1.3202293879559324,10,7,7,3,0
37,1978,w,1/2-1/2,0.5,77,A28,15,-1,17,-1,0.0,-1,none,2.6,7,2,2,0,3,36.75,39.38095238095238,0.951862757654007,8,0,2,5,0
38,1978,w,1/2-1/2,0.5,34,C69,7,15,7,-1,0.0,9,k,3.0,0,-1,-1,-1,-1,35.142857142857146,36.25,0.9809993148712106,6,0,8,3,0
43,1979,w,1-0,1.0,79,E91,16,-1,16,-1,0.0,19,k,2.45,0,0,0,0,2,43.8,35.57142857142857,1.235165991127807,9,2,4,4,0
44,1979,w,1-0,1.0,133,E12,11,77,15,112,0.16541353383458646,21,k,2.9,0,0,1,0,2,43.55,40.666666666666664,1.0787136864822018,13,2,8,4,0
45,1979,w,1/2-1/2,0.5,23,E46,-1,-1,-1,-1,0.0,23,k,1.5,0,-1,-1,-1,-1,46.5,28.5,1.6896551724137931,0,0,0.0,0.0,0
46,1979,w,1-0,1.0,69,D61,20,56,23,-1,0.0,15,q,2.0,0,0,1,0,3,43.4,37.142857142857146,1.2112219170978196,10,4,3,10,0
50,1979,w,1/2-1/2,0.5,37,C97,-1,-1,-1,-1,0.0,9,k,2.7777777777777777,0,-1,-1,-1,-1,33.55555555555556,36.333333333333336,0.8909213292727225,0,0,0.0,0.0,0
