game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
2,1945,w,1-0,1.0,75,E16,12,59,12,-1,0.0,15,k,2.85,0,0,0,0,2,42.55,33.714285714285715,1.3126378150619933,12,2,8,3,0
3,1945,w,1-0,1.0,91,D90,12,36,42,69,0.25274725274725274,23,k,2.55,0,0,2,0,3,40.0,34.38095238095238,1.2224305389948085,13,1,5,5,0
14,1945,w,1/2-1/2,0.5,61,D52,14,51,19,-1,0.0,23,k,2.95,0,0,0,0,2,41.35,33.76190476190476,1.2457829071068236,7,0,9,3,0
15,1945,w,0-1,0.0,66,C10,6,52,28,-1,0.0,13,k,3.0,0,0,2,1,3,44.95,40.857142857142854,1.0896674786062917,9,0,5,8,0
16,1945,w,1-0,1.0,141,E69,29,75,44,107,0.24822695035460993,13,k,2.3,0,0,0,0,2,38.8,37.42857142857143,1.034301399299548,11,1,9,3,0
17,1945,w,1-0,1.0,83,B33,6,24,14,59,0.30120481927710846,35,q,0.35,2,0,0,0,2,35.6,22.904761904761905,1.6023509010292927,12,5,4,8,0
18,1945,w,1/2-1/2,0.5,96,A30,16,48,18,48,0.5104166666666666,13,k,2.6,0,0,0,0,2,34.55,35.285714285714285,0.9797283151655869,11,2,5,9,0
19,1945,w,1-0,1.0,73,C68,7,25,7,-1,0.0,27,q,2.1,0,2,0,0,2,31.75,28.761904761904763,1.1265988036276091,12,4,9,4,0
21,1945,w,1-0,1.0,71,D05,14,-1,28,-1,0.0,9,k,2.35,0,0,0,0,2,38.6,38.714285714285715,1.0168521903816592,8,0,5,2,0
22,1945,w,1-0,1.0,27,C36,4,22,16,-1,0.0,-1,none,1.0,0,-1,-1,-1,-1,44.0,36.25,1.3522875816993463,6,2,3,8,0
23,1945,w,1-0,1.0,69,C77,20,-1,29,-1,0.0,13,k,2.5,0,0,0,0,2,37.8,36.95238095238095,1.0184449174011583,5,0,4,3,1
24,1945,w,1-0,1.0,25,B29,8,14,8,-1,0.0,23,q,2.3333333333333335,0,-1,-1,-1,-1,38.333333333333336,16.333333333333332,2.264705882352941,4,3,3,8,0
25,1945,w,1-0,1.0,37,C17,11,-1,11,-1,0.0,25,k,2.5555555555555554,0,-1,-1,-1,-1,37.22222222222222,32.22222222222222,1.1589037334753058,5,2,4,3,1
26,1945,w,1/2-1/2,0.5,68,D19,8,65,20,65,0.058823529411764705,15,k,2.6,0,0,1,0,2,42.35,34.714285714285715,1.2806261172503233,9,0,9,5,1
27,1945,w,1-0,1.0,81,E00,8,-1,8,-1,0.0,17,k,2.95,0,0,1,0,2,42.0,34.0,1.2640204056853546,11,1,4,3,0
